Samples	Signature A	Signature B	Signature C	Signature D
Sample950	410	0	562	0
Sample951	657	0	221	130
Sample952	355	356	0	289
Sample953	764	236	0	0
Sample954	727	265	0	0
Sample955	710	0	267	0
Sample956	851	0	0	134
Sample957	0	575	279	161
Sample958	726	288	0	0
Sample959	787	0	232	0
Sample960	384	268	0	367
Sample961	719	301	0	0
Sample962	627	0	234	131
Sample963	329	452	0	237
Sample964	410	0	562	0
Sample965	382	600	0	0
Sample966	291	507	217	0
Sample967	352	0	451	177
Sample968	252	756	0	0
Sample969	514	283	0	177
Sample970	261	723	0	0
Sample971	190	0	432	377
Sample972	680	328	0	0
Sample973	410	0	562	0
Sample974	792	216	0	0
Sample975	410	0	562	0
Sample976	317	670	0	0
Sample977	719	289	0	0
Sample978	720	266	0	0
Sample979	0	305	497	180
Sample980	336	407	268	0
Sample981	769	209	0	0
Sample982	766	226	0	0
Sample983	785	238	0	0
Sample984	801	207	0	0
Sample985	303	685	0	0
Sample986	400	627	0	0
Sample987	315	373	320	0
Sample988	756	258	0	0
Sample989	798	194	0	0
Sample990	608	376	0	0
Sample991	978	0	0	0
Sample992	791	217	0	0
Sample993	836	0	0	172
Sample994	811	207	0	0
Sample995	733	294	0	0
Sample996	760	0	232	0
Sample997	756	236	0	0
Sample998	495	311	0	202
Sample999	337	644	0	0
Sample1000	980	0	0	0
Sample1001	617	0	251	158
Sample1002	801	199	0	0
Sample1003	710	269	0	0
Sample1004	281	696	0	0
Sample1005	758	220	0	0
Sample1006	766	242	0	0
Sample1007	759	241	0	0
Sample1008	370	616	0	0
Sample1009	772	0	228	0
Sample1010	881	0	0	134
Sample1011	749	0	266	0
Sample1012	532	0	485	0
Sample1013	776	224	0	0
Sample1014	308	673	0	0
Sample1015	655	345	0	0
Sample1016	723	291	0	0
Sample1017	300	340	0	378
Sample1018	357	342	301	0
Sample1019	687	281	0	0
Sample1020	801	207	0	0
Sample1021	410	265	0	333
Sample1022	732	254	0	0
Sample1023	410	0	562	0
Sample1024	435	279	0	302
Sample1025	756	244	0	0
Sample1026	420	0	615	0
Sample1027	739	269	0	0
Sample1028	408	414	0	197
Sample1029	323	657	0	0
Sample1030	856	0	0	129
Sample1031	410	0	562	0
Sample1032	439	376	0	197
Sample1033	364	0	299	342
Sample1034	722	299	0	0
Sample1035	639	0	224	122
Sample1036	301	678	0	0
Sample1037	337	692	0	0
Sample1038	388	241	0	379
Sample1039	432	0	576	0
Sample1040	822	0	0	186
Sample1041	661	325	0	0
Sample1042	764	224	0	0
Sample1043	410	0	562	0
Sample1044	0	0	677	317
Sample1045	680	0	193	116
Sample1046	753	274	0	0
Sample1047	657	362	0	0
Sample1048	980	0	0	0
Sample1049	779	0	199	0
Sample1050	828	0	0	157
Sample1051	299	674	0	0
Sample1052	235	744	0	0
Sample1053	992	0	0	0
Sample1054	618	245	0	152
Sample1055	396	640	0	0
Sample1056	709	299	0	0
